Azimuth,Elevation,cos,shade,refl,block,spill,absorb,opt,cos_se,shade_se,refl_se,block_se,spill_se,abs_se,opt_se,1,2,3,4,5,6,7,8,9,10,,1,2,3,4,5,6,7,8,9,10,
100.0,10.0,0.763814289823,0.561179859114,0.96,0.985708586001,0.992965648078,1.0,0.402755432348,0.0,0.0134041810219,2.53108936369e-15,0.00239430003416,0.00234101004002,1.82428258335e-16,0.00950259956163,0.0777330588056,0.274870904082,0.50755306204,0.694849245391,0.824213038257,0.905658445539,0.948342891058,0.973602069445,0.986471626192,0.992965648078,,0.0315335203036,0.111476461288,0.205867647178,0.281836568158,0.334293905909,0.367338210677,0.384649282666,0.394897710976,0.400123875713,0.402755432348,
110.0,10.0,0.808134636238,0.719497263234,0.96,0.992939397976,0.99598025217,1.0,0.552022814191,8.90158753083e-17,0.0186378479456,6.16313076621e-15,0.00116829557161,0.00141316262376,3.40904848163e-16,0.0143028781516,0.0946657953834,0.323866276015,0.567400339674,0.750646351514,0.865862327899,0.931061171336,0.966780371502,0.98398405882,0.992069614962,0.99598025217,,0.0524952637587,0.179529794409,0.314471115649,0.416005293615,0.479868584885,0.516024386229,0.535832905362,0.545368168335,0.5498557534,0.552022814191,
120.0,10.0,0.84773954137,0.758496070262,0.96,0.999200527132,0.998564361161,1.0,0.615907414403,0.0,0.0154047865159,4.39471655868e-15,0.00110785063575,0.000584630317249,2.57992517097e-16,0.0124918832126,0.101272871281,0.34345782004,0.600047438399,0.778524509783,0.885328720522,0.944343440415,0.975801485311,0.989268112253,0.995036441387,0.998564361161,,0.062485443327,0.211825940256,0.370098402946,0.480192715403,0.546054159884,0.582447096522,0.601865603362,0.610179023309,0.613728819415,0.615907414403,
130.0,10.0,0.882084354885,0.734936170529,0.96,0.998095776988,0.998839305878,1.0,0.620439767797,0.0,0.0120096606545,3.48926335155e-15,0.000747315638209,0.000681947763023,0.0,0.0103166938701,0.109037287989,0.366913674871,0.631404925087,0.813104930841,0.912298906535,0.961769250033,0.983824976542,0.992773484475,0.99690854884,0.998839305878,,0.067738977348,0.227950553793,0.392270259733,0.505094658247,0.566683757531,0.597403041642,0.611109578957,0.616671017421,0.619242361632,0.620439767797,
140.0,10.0,0.910739977105,0.681459842381,0.96,0.998239582825,0.999336510151,1.0,0.594362314214,0.0,0.00842268900926,2.67284896186e-15,0.000791882709095,0.00076996837883,2.57992517097e-16,0.00707699187944,0.115309069168,0.388003033296,0.647101753774,0.826467739706,0.922408774212,0.965611703651,0.985564196234,0.993374652111,0.996918191676,0.999336510151,,0.0685737405032,0.23075590538,0.384860026151,0.491545494313,0.548604977132,0.574300629206,0.586169319116,0.590813886573,0.592925426816,0.594362314214,
150.0,10.0,0.933372285916,0.665632300329,0.96,0.999229738863,0.999779231846,1.0,0.595840255538,0.0,0.00269349035042,8.52417063073e-16,0.000480171581463,0.000310484636298,3.33066907388e-16,0.00232433390698,0.126172249856,0.414617185444,0.681402169846,0.850613272295,0.936536872634,0.973098592532,0.989374825085,0.995300749506,0.998031789124,0.999779231846,,0.075195738713,0.24710357858,0.406098590362,0.506940716438,0.558152751777,0.579940070128,0.589638375834,0.593170381906,0.594798854291,0.595840255538,
160.0,10.0,0.949730022379,0.738460278457,0.96,0.99790381963,0.999951807229,1.0,0.67183928273,0.0,0.0183603228788,4.85295742886e-15,0.000577053201425,0.000144578313253,3.64856516669e-16,0.0165857534509,0.129063674616,0.416640024462,0.690502315394,0.858518116142,0.943993310078,0.978438852843,0.991314020467,0.996665525947,0.998846162791,0.999951807229,,0.0867264179683,0.279913875972,0.463940834696,0.576828182563,0.634253045319,0.657388300896,0.666036994569,0.669631949994,0.671094838211,0.67183928273,
170.0,10.0,0.959637703615,0.715292484383,0.96,0.998704788562,0.999900530627,1.0,0.658045163707,0.0,0.0117237718239,3.23692372401e-15,0.000923119223893,0.000182743029359,4.71027737605e-16,0.0107159522674,0.127052121791,0.423616831564,0.694872406751,0.864138257662,0.942979760305,0.979619130621,0.991819470543,0.996594788591,0.998878729487,0.999900530627,,0.0836254781164,0.278816367693,0.457321573415,0.568703610673,0.6206039835,0.644698532473,0.652731417261,0.655872042575,0.657374616254,0.658045163707,
180.0,10.0,0.962991606297,0.527673306394,0.96,0.999662622173,1.0,1.0,0.487654950625,0.0,0.0121922526422,2.08931466628e-15,0.000452478351625,1.48952049195e-16,2.78663767572e-16,0.0113079414577,0.129866075996,0.42840824682,0.694704857371,0.861637809663,0.942760030828,0.979768443117,0.991916509824,0.996473069516,0.999030949605,1.0,,0.0633722081214,0.20890974307,0.338775626127,0.420201982292,0.459749228886,0.47779379768,0.483716510689,0.485937528068,0.487182830479,0.487654950625,
190.0,10.0,0.959757739234,0.725540387985,0.96,0.999115018142,0.999901832216,1.0,0.667832419585,0.0,0.0167148967909,4.53876227432e-15,0.000553162514776,0.00018039526327,3.33066907388e-16,0.0154163126802,0.121866623829,0.414040626164,0.687368353259,0.858474638692,0.942576498899,0.977907270383,0.992085230088,0.996885905109,0.998841689339,0.999901832216,,0.0813989868811,0.276458503895,0.459069102184,0.573335861953,0.629548265438,0.653144693446,0.662611728705,0.665820777228,0.667123555135,0.667832419585,
