-4.86,121.62,4.36,133.83
-14.63,121.6,4.17,134.60
-24.35,121.61,3.92,136.11
-34.11,121.61,3.71,138.28
-43.87,121.59,3.46,141.09
-53.6,121.59,3.26,144.49
-63.34,121.6,3.01,148.48
-73.14,121.62,2.79,153.02
-82.85,121.63,2.55,157.98
-92.62,121.63,2.33,163.40
-102.35,121.63,2.1,169.18
-112.12,121.61,1.89,175.32
4.88,136.84,4.59,147.71
14.63,136.85,4.84,148.27
24.38,136.84,5.05,149.46
34.13,136.84,5.27,151.28
43.87,136.85,5.5,153.70
53.63,136.84,5.74,156.67
63.38,136.85,5.94,160.21
73.13,136.84,6.17,164.23
82.88,136.84,6.39,168.73
92.62,136.84,6.63,173.64
102.35,136.81,6.83,178.94
112.15,136.81,7.06,184.65
121.88,136.85,7.28,190.69
131.64,136.82,7.43,197.01
-4.87,136.85,4.4,147.79
-14.63,136.85,4.18,148.52
-24.38,136.84,3.92,149.88
-34.13,136.82,3.69,151.84
-43.88,136.85,3.51,154.42
-53.62,136.85,3.22,157.57
-63.38,136.86,3.01,161.23
-73.12,136.88,2.81,165.39
-82.85,136.87,2.54,170.00
-92.63,136.86,2.28,175.05
-102.36,136.87,2.06,180.47
-112.13,136.85,1.86,186.23
-121.88,136.86,1.71,192.31
-131.62,136.87,1.51,198.69
4.87,154.52,4.65,164.21
14.62,154.51,4.85,164.71
24.39,154.52,5.09,165.79
34.13,154.51,5.31,167.42
43.87,154.53,5.54,169.62
53.61,154.52,5.76,172.31
63.39,154.52,5.98,175.54
73.13,154.51,6.21,179.21
82.87,154.52,6.46,183.33
92.61,154.54,6.7,187.88
102.38,154.52,6.92,192.81
112.14,154.51,7.16,198.09
121.89,154.54,7.36,203.74
131.63,154.52,7.63,209.63
-4.89,154.52,4.44,164.28
-14.63,154.52,4.19,164.94
-24.38,154.53,3.95,166.18
-34.12,154.51,3.73,167.94
-43.88,154.52,3.48,170.28
-53.62,154.51,3.24,173.12
-63.38,154.51,3.02,176.46
-73.12,154.51,2.81,180.25
-82.89,154.52,2.55,184.52
-92.62,154.52,2.35,189.15
-102.37,154.53,2.11,194.19
-112.13,154.54,1.85,199.59
-121.9,154.54,1.71,205.28
-131.64,154.54,1.54,211.26
4.84,173.72,4.7,182.37
14.62,173.72,4.89,182.84
24.39,173.73,5.12,183.82
34.11,173.71,5.35,185.27
43.86,173.71,5.57,187.25
53.63,173.72,5.79,189.72
63.38,173.71,6,192.63
73.13,173.71,6.25,195.99
82.89,173.72,6.48,199.78
92.62,173.7,6.72,203.93
102.38,173.7,6.93,208.49
112.12,173.72,7.17,213.40
121.9,173.72,7.42,218.64
131.64,173.71,7.69,224.14
-4.89,173.72,4.45,182.45
-14.61,173.7,4.24,183.01
-24.36,173.73,4.02,184.14
-34.12,173.75,3.79,185.78
-43.85,173.74,3.55,187.87
-53.63,173.71,3.33,190.43
-63.38,173.75,3.07,193.51
-73.1,173.76,2.86,196.98
-82.88,173.73,2.62,200.86
-92.67,173.72,2.36,205.16
-102.38,173.73,2.14,209.79
-112.12,173.72,1.92,214.76
-121.88,173.73,1.74,220.07
-131.62,173.72,1.57,225.65
4.91,194.76,4.74,202.51
14.62,194.76,4.94,202.92
24.39,194.73,5.17,203.77
34.1,194.74,5.41,205.10
43.87,194.73,5.63,206.88
53.63,194.73,5.86,209.11
-4.88,194.71,4.54,202.51
-14.65,194.74,4.31,203.08
-24.41,194.71,4.13,204.03
-34.13,194.77,3.83,205.56
-43.88,194.75,3.59,207.45
-53.63,194.75,3.34,209.80
